PLANT or CUSTOMER,AGGREGATE SOURCE,# PICKED UP,# MISSED,AGG MATERIAL,QTY,AGG CARRIER,MG,SPECIAL NOTES
ANDERSON ROAD MC LOC311,JAHNA GREENBAY,,,COMMERCIAL SAND,3.0,,Y,
ANDERSON ROAD MC LOC311,VULCAN ALANZA (Tampa),,,#57 DOT,2.0,,Y,
INDUSTRIAL LANE MC LOC308,JAHNA INDEPENDENT,,,CONCRETE SAND,18.0,,Y,
INDUSTRIAL LANE MC LOC308,VULCAN ALANZA (Tampa),,,#89 DOT,10.0,,Y,
PORT OF TAMPA MC LOC751,VULCAN ALANZA,,,#57 DOT,5.0,,Y,
PLANT CITY RMC MC LOC302,JAHNA GREENBAY,,,DOT SAND,15.0,,Y,
PLANT CITY RMC MC LOC302,VULCAN AUBURNDALE,,,DOT 57,10.0,,Y,
RUSKIN RMC MC LOC303,JAHNA HAINES CITY,,,COMMERCIAL SAND,8.0,,Y,
RUSKIN RMC MC LOC303,VUCLAN ALANZA,,,#89 DOT,5.0,,Y,
RUSKIN RMC MC LOC303,VULCAN ALANZA,,,#57 DOT,15.0,,,
TAMPA BLOCK MC LOC263,Central State AGG,,,COMMERCIAL SCREENINGS,8.0,Daniel Mullings,Y,DAILY
TAMPA BLOCK MC LOC263,Center State,,,Mason Sand,2.0,Daniel Mullings,Y,8 SCREENINGS
MAINLINE RMC MC LOC307,CORKSCREW,,,#89,2.0,,Y,
MAINLINE RMC MC LOC307,VULCAN FT MYERS,,,#57,6.0,,Y,
MAINLINE RMC MC LOC307,STEWART MINING,,,COMMERCIAL SAND,6.0,,Y,
NAPLES RMC MC LOC312,PENNSUCO TERMINAL,,,#89,6.0,"OLYMPIAN 2, SERVISAN 4",Y,
NAPLES RMC MC LOC312,VULCAN FT MYERS,,,COMMERCIAL SCREENINGS,15.0,,,
NAPLES RMC MC LOC312,VULCAN FT MYERS,,,#57,10.0,,Y,
PUNTA GORDA RMC MC LOC301,PENNSUCO TERMINAL,,,#89,3.0,"SERVISAN 2, OLYMPIAN 3",Y,
PUNTA GORDA RMC MC LOC301,VULCAN FT MYERS,,,#57,7.0,,Y,
PUNTA GORDA RMC MC LOC301,JAHNA ORTONA,,,COMMERCIAL SAND,8.0,,Y,
VENICE RMC MC LOC305,VULCAN FT MYERS,,,COMMERCIAL SCREENINGS,14.0,,,
VENICE RMC MC LOC305,VULCAN FT MYERS,,,#57,8.0,,Y,
VENICE RMC MC LOC305,VULCAN FT MYERS,,,#89,4.0,,Y,
